number,wordlen
0,4
1,3
2,3
3,5
4,4
5,4
6,3
7,5
8,5
9,4
10,3
11,6
12,6
13,8
14,8
15,7
16,7
17,9
18,8
19,8
20,6
21,10
22,10
23,12
24,11
25,11
26,10
27,12
28,12
29,11
30,6
31,10
32,10
33,12
34,11
35,11
36,10
37,12
38,12
39,11
40,5
41,9
42,9
43,11
44,10
45,10
46,9
47,11
48,11
49,10
50,5
51,9
52,9
53,11
54,10
55,10
56,9
57,11
58,11
59,10
60,5
61,9
62,9
63,11
64,10
65,10
66,9
67,11
68,11
69,10
70,7
71,11
72,11
73,13
74,12
75,12
76,11
77,13
78,13
79,12
80,6
81,10
82,10
83,12
84,11
85,11
86,10
87,12
88,12
89,11
90,6
91,10
92,10
93,12
94,11
95,11
96,10
97,12
98,12
99,11
100,10
101,16
102,16
103,18
104,17
105,17
106,16
107,18
108,18
109,17
110,16
111,19
112,19
113,21
114,21
115,20
116,20
117,22
118,21
119,21
120,19
121,23
122,23
123,25
124,24
125,24
126,23
127,25
128,25
129,24
130,19
131,23
132,23
133,25
134,24
135,24
136,23
137,25
138,25
139,24
140,18
141,22
142,22
143,24
144,23
145,23
146,22
147,24
148,24
149,23
150,18
151,22
152,22
153,24
154,23
155,23
156,22
157,24
158,24
159,23
160,18
161,22
162,22
163,24
164,23
165,23
166,22
167,24
168,24
169,23
170,20
171,24
172,24
173,26
174,25
175,25
176,24
177,26
178,26
179,25
180,19
181,23
182,23
183,25
184,24
185,24
186,23
187,25
188,25
189,24
190,19
191,23
192,23
193,25
194,24
195,24
196,23
197,25
198,25
199,24
200,10
201,16
202,16
203,18
204,17
205,17
206,16
207,18
208,18
209,17
210,16
211,19
212,19
213,21
214,21
215,20
216,20
217,22
218,21
219,21
220,19
221,23
222,23
223,25
224,24
225,24
226,23
227,25
228,25
229,24
230,19
231,23
232,23
233,25
234,24
235,24
236,23
237,25
238,25
239,24
240,18
241,22
242,22
243,24
244,23
245,23
246,22
247,24
248,24
249,23
250,18
251,22
252,22
253,24
254,23
255,23
256,22
257,24
258,24
259,23
260,18
261,22
262,22
263,24
264,23
265,23
266,22
267,24
268,24
269,23
270,20
271,24
272,24
273,26
274,25
275,25
276,24
277,26
278,26
279,25
280,19
281,23
282,23
283,25
284,24
285,24
286,23
287,25
288,25
289,24
290,19
291,23
292,23
293,25
294,24
295,24
296,23
297,25
298,25
299,24
300,12
301,18
302,18
303,20
304,19
305,19
306,18
307,20
308,20
309,19
310,18
311,21
312,21
313,23
314,23
315,22
316,22
317,24
318,23
319,23
320,21
321,25
322,25
323,27
324,26
325,26
326,25
327,27
328,27
329,26
330,21
331,25
332,25
333,27
334,26
335,26
336,25
337,27
338,27
339,26
340,20
341,24
342,24
343,26
344,25
345,25
346,24
347,26
348,26
349,25
350,20
351,24
352,24
353,26
354,25
355,25
356,24
357,26
358,26
359,25
360,20
361,24
362,24
363,26
364,25
365,25
366,24
367,26
368,26
369,25
370,22
371,26
372,26
373,28
374,27
375,27
376,26
377,28
378,28
379,27
380,21
381,25
382,25
383,27
384,26
385,26
386,25
387,27
388,27
389,26
390,21
391,25
392,25
393,27
394,26
395,26
396,25
397,27
398,27
399,26
400,11
401,17
402,17
403,19
404,18
405,18
406,17
407,19
408,19
409,18
410,17
411,20
412,20
413,22
414,22
415,21
416,21
417,23
418,22
419,22
420,20
421,24
422,24
423,26
424,25
425,25
426,24
427,26
428,26
429,25
430,20
431,24
432,24
433,26
434,25
435,25
436,24
437,26
438,26
439,25
440,19
441,23
442,23
443,25
444,24
445,24
446,23
447,25
448,25
449,24
450,19
451,23
452,23
453,25
454,24
455,24
456,23
457,25
458,25
459,24
460,19
461,23
462,23
463,25
464,24
465,24
466,23
467,25
468,25
469,24
470,21
471,25
472,25
473,27
474,26
475,26
476,25
477,27
478,27
479,26
480,20
481,24
482,24
483,26
484,25
485,25
486,24
487,26
488,26
489,25
490,20
491,24
492,24
493,26
494,25
495,25
496,24
497,26
498,26
499,25
500,11
501,17
502,17
503,19
504,18
505,18
506,17
507,19
508,19
509,18
510,17
511,20
512,20
513,22
514,22
515,21
516,21
517,23
518,22
519,22
520,20
521,24
522,24
523,26
524,25
525,25
526,24
527,26
528,26
529,25
530,20
531,24
532,24
533,26
534,25
535,25
536,24
537,26
538,26
539,25
540,19
541,23
542,23
543,25
544,24
545,24
546,23
547,25
548,25
549,24
550,19
551,23
552,23
553,25
554,24
555,24
556,23
557,25
558,25
559,24
560,19
561,23
562,23
563,25
564,24
565,24
566,23
567,25
568,25
569,24
570,21
571,25
572,25
573,27
574,26
575,26
576,25
577,27
578,27
579,26
580,20
581,24
582,24
583,26
584,25
585,25
586,24
587,26
588,26
589,25
590,20
591,24
592,24
593,26
594,25
595,25
596,24
597,26
598,26
599,25
600,10
601,16
602,16
603,18
604,17
605,17
606,16
607,18
608,18
609,17
610,16
611,19
612,19
613,21
614,21
615,20
616,20
617,22
618,21
619,21
620,19
621,23
622,23
623,25
624,24
625,24
626,23
627,25
628,25
629,24
630,19
631,23
632,23
633,25
634,24
635,24
636,23
637,25
638,25
639,24
640,18
641,22
642,22
643,24
644,23
645,23
646,22
647,24
648,24
649,23
650,18
651,22
652,22
653,24
654,23
655,23
656,22
657,24
658,24
659,23
660,18
661,22
662,22
663,24
664,23
665,23
666,22
667,24
668,24
669,23
670,20
671,24
672,24
673,26
674,25
675,25
676,24
677,26
678,26
679,25
680,19
681,23
682,23
683,25
684,24
685,24
686,23
687,25
688,25
689,24
690,19
691,23
692,23
693,25
694,24
695,24
696,23
697,25
698,25
699,24
700,12
701,18
702,18
703,20
704,19
705,19
706,18
707,20
708,20
709,19
710,18
711,21
712,21
713,23
714,23
715,22
716,22
717,24
718,23
719,23
720,21
721,25
722,25
723,27
724,26
725,26
726,25
727,27
728,27
729,26
730,21
731,25
732,25
733,27
734,26
735,26
736,25
737,27
738,27
739,26
740,20
741,24
742,24
743,26
744,25
745,25
746,24
747,26
748,26
749,25
750,20
751,24
752,24
753,26
754,25
755,25
756,24
757,26
758,26
759,25
760,20
761,24
762,24
763,26
764,25
765,25
766,24
767,26
768,26
769,25
770,22
771,26
772,26
773,28
774,27
775,27
776,26
777,28
778,28
779,27
780,21
781,25
782,25
783,27
784,26
785,26
786,25
787,27
788,27
789,26
790,21
791,25
792,25
793,27
794,26
795,26
796,25
797,27
798,27
799,26
800,12
801,18
802,18
803,20
804,19
805,19
806,18
807,20
808,20
809,19
810,18
811,21
812,21
813,23
814,23
815,22
816,22
817,24
818,23
819,23
820,21
821,25
822,25
823,27
824,26
825,26
826,25
827,27
828,27
829,26
830,21
831,25
832,25
833,27
834,26
835,26
836,25
837,27
838,27
839,26
840,20
841,24
842,24
843,26
844,25
845,25
846,24
847,26
848,26
849,25
850,20
851,24
852,24
853,26
854,25
855,25
856,24
857,26
858,26
859,25
860,20
861,24
862,24
863,26
864,25
865,25
866,24
867,26
868,26
869,25
870,22
871,26
872,26
873,28
874,27
875,27
876,26
877,28
878,28
879,27
880,21
881,25
882,25
883,27
884,26
885,26
886,25
887,27
888,27
889,26
890,21
891,25
892,25
893,27
894,26
895,26
896,25
897,27
898,27
899,26
900,11
901,17
902,17
903,19
904,18
905,18
906,17
907,19
908,19
909,18
910,17
911,20
912,20
913,22
914,22
915,21
916,21
917,23
918,22
919,22
920,20
921,24
922,24
923,26
924,25
925,25
926,24
927,26
928,26
929,25
930,20
931,24
932,24
933,26
934,25
935,25
936,24
937,26
938,26
939,25
940,19
941,23
942,23
943,25
944,24
945,24
946,23
947,25
948,25
949,24
950,19
951,23
952,23
953,25
954,24
955,24
956,23
957,25
958,25
959,24
960,19
961,23
962,23
963,25
964,24
965,24
966,23
967,25
968,25
969,24
970,21
971,25
972,25
973,27
974,26
975,26
976,25
977,27
978,27
979,26
980,20
981,24
982,24
983,26
984,25
985,25
986,24
987,26
988,26
989,25
990,20
991,24
992,24
993,26
994,25
995,25
996,24
997,26
998,26
999,25
1000,11
